CO_Concentration,Humidity,R1_Up_Slope,R1_Down_Slope,R2_Up_Slope,R2_Down_Slope,R3_Up_Slope,R3_Down_Slope,R4_Up_Slope,R4_Down_Slope,R5_Up_Slope,R5_Down_Slope,R6_Up_Slope,R6_Down_Slope,R7_Up_Slope,R7_Down_Slope,R8_Up_Slope,R8_Down_Slope,R9_Up_Slope,R9_Down_Slope,R10_Up_Slope,R10_Down_Slope,R11_Up_Slope,R11_Down_Slope,R12_Up_Slope,R12_Down_Slope,R13_Up_Slope,R13_Down_Slope,R14_Up_Slope,R14_Down_Slope
4.44,65.17,10.63,-5.82,12.61,-5.91,12.68,-6.34,4.39,-2.1,12.25,-5.99,11.97,-5.61,12.62,-5.89,2.88,-1.72,0.77,-1.09,0.77,-1.32,2.36,-1.85,2.55,-1.99,0.83,-1.38,2.54,-1.87
13.33,54.77,9.74,-5.44,12.43,-5.44,13.32,-5.95,3.41,-1.49,12.54,-5.6,13.09,-5.61,12.69,-6.07,8.8,-3.85,7.85,-3.2,10.2,-4.25,8.63,-3.42,8.93,-3.99,7.28,-3.26,8.4,-4.2
17.78,60.26,10.56,-5.04,12.15,-5.81,11.67,-6.1,5.72,-2.43,11.52,-5.26,12.4,-5.43,12.28,-6.14,4.85,-2.21,4.05,-1.98,4.05,-2.17,4.26,-1.85,4.23,-2.36,3.43,-1.72,4.47,-2.19
11.11,25.27,10.47,-5.72,12.46,-6.36,13.22,-6.6,8.85,-4.23,13.36,-5.8,12.56,-5.61,13.55,-6.45,3.1,-1.73,3.08,-1.5,0.75,-1.13,2.68,-1.63,3.12,-1.78,0.79,-1.38,2.82,-1.83
2.22,19.74,12.76,-6.53,13.9,-6.22,13.48,-5.34,10.93,-4.79,15.46,-6.91,15.6,-6.83,15.25,-6.36,5.61,-2.75,4.61,-2.52,5.06,-2.36,4.85,-2.21,5.03,-2.69,4.79,-2.09,5.27,-2.41
13.33,16.38,15.78,-8.24,17.05,-6.96,18.22,-7.29,13.54,-5.42,18.3,-7.47,18.37,-6.84,17.77,-7.61,11.33,-4.96,10.67,-4.57,12.98,-5.41,11.75,-4.43,12.17,-4.96,11.63,-4.75,12.16,-4.86
2.22,31.81,14.65,-6.69,15.31,-6.83,15.58,-7.44,11.24,-4.35,19.03,-7.37,16.85,-6.4,16.68,-7.45,4.95,-2.15,4.24,-2.03,3.59,-2.14,4.03,-1.97,4.1,-2.66,4.07,-1.9,4.56,-2.08
15.56,41.92,13.67,-7.31,14.33,-6.27,13.89,-6.64,9.41,-4.2,14.93,-6.67,15.77,-6.9,15.36,-6.86,13.14,-5.26,10.11,-4.34,13.6,-5.28,12.72,-4.4,11.01,-5.27,10.59,-4.83,11.23,-5.02
11.11,18.06,14.49,-7.75,15.13,-7.08,16.14,-7.37,11.83,-5.29,16.52,-6.4,14.78,-7.39,16.7,-6.95,3.77,-1.97,3.86,-1.89,3.21,-1.84,3.65,-1.7,3.85,-2.35,3.76,-1.63,4.04,-1.88
20,51.22,13.58,-6.64,12.98,-6.36,14.74,-6.59,7.72,-3.22,14.79,-6.48,14.22,-6.1,13.97,-6.25,5.83,-2.85,4.75,-2.88,5.38,-2.58,5.25,-2.19,5.7,-2.98,4.86,-2.38,5.5,-2.81
2.22,41.4,10.63,-5.83,12.15,-5.81,14.36,-6.25,8.49,-3.61,14.14,-6.15,13.33,-5.96,13.53,-6.46,2.47,-1.82,0.77,-1.07,0.53,-2.02,0.77,-1.15,2.63,-1.75,0.87,-1.29,0.87,-1.28
20,51.74,11.51,-5.89,12.61,-5.52,13.2,-6.46,7.03,-3.14,12.84,-6.15,14.12,-5.77,13.52,-6.18,13.3,-5.06,10.14,-3.83,12.14,-5.06,12.18,-4.87,12.74,-4.85,10.38,-4.11,12.32,-4.78
6.67,44.01,10.74,-5.88,10.58,-4.41,12.31,-6.16,7.81,-3.49,12.84,-5.86,13.62,-5.96,13.26,-5.77,2.33,-1.9,0.45,-1.72,0.46,-1.78,0.74,-1.18,2.8,-1.6,0.77,-1.42,0.8,-1.14
17.78,47.12,11.37,-5.68,13.31,-6.23,14.15,-6.46,7.55,-3.3,12.88,-5.75,13.35,-5.34,12.93,-5.9,8.04,-3.77,7.38,-3.23,7.99,-3.57,7.05,-3.08,7.8,-3.48,6.9,-2.94,8.34,-3.47
0,43.49,9.91,-4.95,11.35,-5.67,12.83,-5.85,7.12,-3.33,12.19,-5.56,12.58,-5.5,12.12,-6.06,2.81,-1.85,3.0,-1.53,0.79,-1.2,2.24,-1.93,2.97,-1.81,0.94,-1.51,2.89,-1.72
13.33,69.53,10.4,-5.2,10.91,-5.11,12.7,-5.41,3.33,-1.71,10.61,-4.85,11.62,-5.09,11.41,-5.58,12.8,-4.44,8.42,-3.37,13.6,-5.17,12.72,-4.63,12.74,-4.49,7.46,-3.11,12.97,-4.84
6.67,72.87,9.22,-4.72,10.39,-4.97,12.32,-5.75,0.83,-1.11,10.14,-4.73,11.42,-5.1,11.17,-5.33,3.84,-2.14,3.01,-1.58,3.62,-1.94,3.65,-1.67,3.48,-2.26,0.73,-1.15,4.0,-2.0
20,56.29,10.81,-4.67,13.16,-5.21,14.06,-5.94,6.16,-2.68,13.28,-5.2,13.62,-5.0,13.78,-5.51,8.07,-3.26,6.79,-2.69,8.29,-3.42,7.14,-3.04,8.24,-3.16,6.22,-2.43,8.65,-3.31
0,50.72,10.59,-4.68,13.27,-5.36,13.56,-5.85,7.62,-2.92,13.41,-5.36,13.51,-5.07,13.66,-5.58,2.44,-1.9,0.47,-1.79,0.71,-1.35,0.81,-1.53,0.9,-1.37,0.84,-1.33,2.27,-1.94
8.89,60.77,10.35,-4.82,13.39,-5.3,14.18,-5.99,5.74,-2.32,12.38,-5.11,12.9,-5.11,14.81,-5.79,13.06,-4.27,10.36,-4.02,13.66,-5.41,14.42,-4.3,14.56,-4.34,9.73,-3.65,14.7,-4.63
4.44,27.47,10.91,-5.2,13.94,-5.64,14.52,-6.27,9.99,-3.83,15.17,-6.41,14.2,-5.33,15.3,-6.12,7.44,-2.91,6.67,-2.82,6.65,-2.81,6.29,-2.66,6.02,-2.94,5.82,-2.33,6.67,-3.03
13.33,32.89,13.22,-5.84,14.21,-5.74,16.99,-6.65,10.9,-4.17,17.26,-6.61,15.38,-6.21,16.71,-6.04,10.72,-3.8,9.41,-3.53,10.91,-3.94,9.94,-3.65,10.34,-3.74,9.19,-3.4,11.37,-3.79
2.22,60.28,12.05,-5.32,15.01,-5.74,15.35,-6.13,6.58,-2.52,14.83,-5.8,14.94,-5.6,14.74,-5.89,5.32,-2.24,5.08,-1.99,4.77,-2.06,4.77,-1.86,5.09,-2.2,3.51,-2.02,4.74,-2.37
20,24.18,12.95,-6.03,15.62,-5.86,17.83,-6.45,11.9,-4.46,17.11,-6.42,16.25,-5.97,17.37,-6.65,12.84,-4.45,12.36,-4.29,13.66,-4.84,12.24,-4.24,14.36,-4.5,12.77,-4.26,14.45,-4.72
6.67,46.62,12.06,-6.18,15.3,-5.86,16.76,-6.19,8.52,-3.51,15.87,-5.73,14.58,-6.02,15.48,-6.19,2.78,-1.67,0.45,-1.63,0.45,-1.68,0.79,-1.36,2.62,-1.77,0.79,-1.34,2.41,-1.8
15.56,60.78,13.33,-5.89,13.81,-5.58,15.05,-6.02,6.36,-2.43,14.17,-5.54,15.56,-5.83,15.04,-5.55,8.93,-3.49,7.22,-2.98,9.24,-3.34,7.98,-3.23,8.49,-3.32,6.79,-2.72,8.88,-3.47
4.44,62.76,11.45,-4.95,14.11,-5.3,14.58,-6.16,5.47,-2.43,12.68,-5.36,13.37,-5.41,14.37,-5.76,4.36,-1.94,4.26,-1.63,3.99,-1.82,3.45,-2.16,4.29,-1.95,2.82,-1.81,3.17,-2.8
0,26.39,11.51,-5.76,13.42,-5.71,15.32,-6.33,11.22,-4.21,15.38,-6.22,15.13,-5.56,16.13,-6.18,10.86,-3.77,9.44,-3.15,9.45,-4.2,9.54,-3.86,10.74,-3.73,9.27,-3.55,10.15,-4.51
8.89,52.78,11.97,-5.57,14.25,-5.64,15.84,-6.2,8.02,-3.01,14.65,-5.92,15.58,-5.72,16.81,-6.44,14.78,-5.03,12.09,-3.95,17.32,-5.54,15.17,-4.11,15.34,-4.63,12.96,-4.15,15.34,-4.81
6.67,45.08,15.48,-5.72,17.1,-5.78,20.19,-5.97,10.04,-3.47,18.56,-6.01,18.53,-5.75,18.81,-6.09,7.86,-2.78,7.66,-2.64,7.43,-2.85,7.26,-2.51,7.08,-2.94,6.87,-2.27,8.06,-2.84
4.44,48.18,14.38,-5.35,16.96,-5.3,19.6,-5.84,10.96,-3.2,18.02,-5.88,17.27,-5.4,19.19,-5.84,10.28,-3.0,9.27,-2.96,9.89,-3.23,9.33,-2.98,9.08,-3.23,8.73,-2.66,10.21,-3.33
8.89,31.83,15.42,-5.61,16.7,-5.68,19.55,-5.82,12.96,-3.7,19.85,-6.33,19.06,-5.95,18.11,-6.44,12.92,-4.49,11.3,-3.46,12.6,-4.02,12.46,-3.42,12.56,-3.66,11.1,-3.31,11.6,-4.03
0,51.77,14.73,-5.35,16.23,-6.0,19.8,-6.46,9.24,-3.15,18.13,-5.29,18.32,-5.72,18.8,-6.13,8.55,-2.73,7.48,-2.83,8.86,-2.64,7.48,-2.6,7.93,-2.82,6.25,-2.41,7.3,-3.05
4.44,69.1,14.34,-4.89,15.55,-5.29,18.84,-5.73,5.24,-1.82,17.3,-5.15,17.79,-5.08,17.05,-5.56,17.75,-4.52,11.81,-3.24,17.53,-4.81,18.42,-3.68,17.87,-4.55,11.7,-3.1,18.33,-4.49
8.89,37.19,14.18,-5.29,17.02,-5.44,20.5,-6.25,10.82,-2.87,17.77,-5.8,16.6,-5.66,18.54,-6.19,14.51,-3.93,10.26,-3.5,13.67,-4.08,12.37,-3.54,11.79,-3.85,11.43,-3.17,12.2,-3.98
11.11,50.75,13.65,-5.39,15.91,-5.3,18.66,-5.95,9.69,-3.03,16.77,-5.83,16.85,-5.61,17.31,-6.15,8.12,-2.54,7.39,-2.52,7.24,-2.73,7.18,-2.44,7.47,-2.82,5.75,-2.41,7.59,-2.86
6.67,32.92,14.45,-5.72,18.23,-5.7,17.47,-6.22,12.25,-3.83,18.46,-6.42,17.72,-5.91,18.51,-6.59,7.07,-2.26,6.01,-2.27,5.96,-2.25,4.78,-2.63,6.03,-2.53,4.5,-2.36,7.4,-2.2
4.44,36.13,16.57,-6.03,19.88,-6.21,20.19,-6.58,12.76,-3.99,21.17,-6.75,18.04,-6.14,18.49,-6.43,11.4,-3.32,9.65,-3.08,10.02,-3.27,9.54,-2.98,10.45,-3.11,7.56,-2.99,10.61,-3.16
11.11,30.21,17.55,-6.39,20.75,-6.5,20.39,-6.52,13.86,-4.34,22.15,-6.94,19.53,-6.53,20.38,-6.95,13.69,-4.0,12.06,-3.85,12.77,-4.08,12.0,-3.68,12.97,-3.79,11.69,-3.49,11.76,-4.1
6.67,65.72,15.03,-5.59,17.67,-5.64,20.11,-6.12,6.76,-1.97,18.9,-5.63,17.05,-5.33,18.36,-6.12,6.32,-2.44,6.16,-2.14,6.07,-2.21,5.88,-2.09,6.38,-2.32,5.2,-1.73,6.71,-2.24
8.89,49.22,15.03,-5.59,17.03,-5.92,18.61,-6.2,9.86,-3.14,18.14,-5.91,17.73,-5.54,20.07,-6.11,11.27,-3.35,9.55,-2.84,10.31,-3.43,10.43,-2.82,10.98,-2.97,9.06,-2.76,11.09,-3.3
13.33,28.58,19.14,-5.78,24.3,-5.57,23.3,-6.88,17.01,-3.9,23.9,-6.9,24.07,-6.01,24.16,-6.44,11.4,-2.97,11.53,-2.64,10.44,-2.78,9.49,-2.74,10.73,-2.86,9.2,-2.45,10.85,-2.89
15.56,39.32,21.24,-6.28,25.18,-6.29,24.9,-7.19,15.29,-4.23,25.37,-6.48,25.47,-6.37,23.78,-6.87,6.37,-2.22,7.47,-1.91,6.7,-1.94,4.43,-2.51,5.52,-2.55,6.47,-1.73,5.7,-2.36
8.89,37.2,20.81,-6.16,21.76,-6.63,26.93,-7.04,15.64,-4.43,26.81,-6.16,25.18,-6.31,23.75,-6.87,6.07,-1.76,5.69,-1.77,4.98,-1.74,4.35,-1.96,4.83,-2.23,5.13,-1.52,4.29,-2.32
6.67,30.21,21.06,-6.86,22.93,-6.34,26.93,-6.31,18.56,-4.17,27.09,-7.49,25.7,-6.3,25.97,-6.63,10.55,-3.28,10.18,-2.88,10.53,-3.04,10.56,-2.7,9.83,-3.13,10.14,-2.7,11.27,-2.94
2.22,45.6,18.34,-6.56,25.9,-6.48,24.68,-6.45,12.29,-3.75,22.39,-6.82,26.53,-5.84,23.44,-6.63,15.05,-3.45,13.26,-3.32,13.47,-3.52,13.7,-3.08,14.27,-3.34,11.07,-3.2,12.64,-3.66
0,26.39,22.7,-6.71,23.95,-6.62,27.88,-7.12,18.12,-4.44,28.67,-7.02,23.1,-6.89,29.35,-6.59,22.76,-5.11,17.01,-4.51,21.97,-5.49,22.82,-4.15,22.81,-5.12,21.42,-5.02,21.83,-5.0
4.44,65.23,18.24,-5.95,20.92,-5.8,24.4,-6.37,8.24,-2.06,24.5,-6.26,22.83,-5.6,21.58,-6.11,25.65,-5.54,17.97,-4.41,27.04,-5.42,27.79,-4.55,26.18,-4.86,19.99,-3.85,25.07,-4.83
0,42.48,17.55,-5.72,20.64,-5.59,23.08,-5.9,13.14,-3.64,22.02,-6.09,21.56,-5.84,21.69,-6.13,16.89,-3.79,13.63,-3.77,14.47,-4.41,12.39,-4.13,15.61,-3.99,12.82,-3.63,15.18,-4.2
20,55.82,16.82,-5.36,18.63,-4.1,23.54,-6.02,10.3,-2.79,20.78,-5.75,20.93,-5.56,23.24,-5.82,22.83,-4.74,18.82,-4.18,25.67,-5.44,23.04,-1.82,26.81,-4.97,21.34,-4.19,26.36,-5.07
17.78,21.98,24.8,-7.17,26.26,-6.57,27.29,-6.98,16.27,-5.43,27.07,-6.77,27.3,-6.83,28.53,-7.29,3.14,-1.92,0.3,-1.09,0.05,-1.11,0.21,-1.67,4.14,-1.76,0.05,-1.26,0.81,-1.17
13.33,48.71,25.6,-6.55,35.04,-6.57,39.19,-6.67,18.74,-3.59,27.43,-6.7,33.23,-6.23,34.36,-6.72,8.46,-1.66,8.74,-1.67,5.87,-1.64,6.32,-1.62,6.65,-2.11,6.81,-1.55,6.11,-1.89
17.78,66.2,22.21,-5.82,25.08,-5.34,32.59,-5.67,9.34,-2.03,25.7,-5.72,29.53,-5.54,28.16,-5.63,11.0,-2.15,8.18,-2.0,8.91,-2.03,8.6,-1.96,9.59,-2.18,8.39,-1.68,10.63,-2.13
2.22,56.83,22.7,-5.28,24.85,-5.4,30.67,-6.13,13.7,-2.62,28.34,-5.67,25.34,-5.39,28.4,-5.81,6.6,-1.84,7.31,-1.63,6.24,-1.6,6.18,-1.58,6.83,-1.95,3.66,-1.83,7.55,-1.72
20,49.21,10.35,-5.25,12.93,-5.86,12.84,-5.95,7.16,-3.32,12.23,-5.28,13.24,-5.6,13.72,-6.05,14.11,-5.24,9.53,-4.52,12.74,-5.07,14.67,-1.9,12.57,-4.73,16.7,-6.32,12.21,-5.31
15.56,39.31,10.1,-5.41,11.61,-5.44,12.94,-6.33,8.3,-3.97,13.11,-6.41,12.3,-5.39,12.18,-6.09,2.18,-1.82,0.2,-1.58,0.2,-1.72,0.65,-1.48,0.73,-1.15,0.17,-1.19,0.69,-1.23
20,37.72,10.82,-5.93,12.5,-5.98,11.87,-4.8,8.77,-3.92,13.45,-6.15,13.9,-6.22,12.76,-6.39,3.45,-2.19,3.36,-1.64,2.86,-1.75,3.06,-1.75,3.32,-1.9,2.48,-1.72,3.0,-2.03
4.44,58.32,9.66,-5.52,11.56,-5.41,12.97,-6.34,5.86,-2.8,12.19,-5.57,12.24,-5.73,12.21,-5.97,2.56,-1.95,0.75,-1.09,0.75,-1.12,2.09,-2.03,2.52,-1.86,0.78,-1.37,2.19,-2.07
15.56,30.75,11.02,-6.03,13.49,-5.9,14.53,-6.18,9.07,-4.33,14.89,-6.2,12.59,-5.89,14.54,-6.63,10.16,-3.94,8.92,-3.64,10.0,-4.26,9.06,-3.7,8.9,-3.71,7.94,-3.7,9.15,-4.18
6.67,51.77,10.41,-5.57,12.92,-6.05,12.95,-6.2,7.17,-3.14,12.76,-5.83,12.23,-5.61,12.93,-6.33,3.49,-2.08,3.61,-1.73,3.3,-1.72,3.04,-2.05,3.23,-2.18,2.56,-1.96,3.22,-2.12
2.22,28.58,10.93,-6.25,13.35,-5.85,13.54,-6.19,9.21,-4.41,14.26,-6.82,13.12,-6.14,14.38,-6.57,7.79,-3.56,7.15,-2.98,7.81,-3.4,7.21,-3.01,6.9,-3.38,6.28,-3.07,7.21,-3.45
11.11,49.73,12.14,-6.49,12.08,-4.83,13.11,-6.27,7.02,-3.22,13.26,-5.8,13.23,-5.67,14.69,-5.99,11.3,-4.21,9.29,-3.98,11.06,-4.84,10.31,-3.89,11.39,-4.56,9.93,-4.14,11.11,-4.67
2.22,60.31,12.05,-5.59,12.53,-5.83,15.38,-6.0,6.5,-2.43,14.47,-5.64,14.31,-5.77,13.18,-5.97,6.28,-2.59,5.18,-2.41,5.81,-2.45,5.65,-2.16,5.81,-2.63,4.31,-2.25,6.09,-2.56
13.33,62.28,11.4,-5.19,13.37,-5.19,13.89,-5.75,5.54,-2.36,12.56,-5.47,12.83,-5.35,13.61,-5.63,11.92,-4.21,8.8,-3.49,12.82,-4.36,10.52,-4.21,11.71,-4.31,9.04,-3.39,11.69,-4.63
4.44,51.26,10.37,-5.07,13.18,-5.61,14.32,-5.92,7.31,-3.11,12.79,-5.28,13.14,-5.09,13.77,-5.81,4.39,-2.19,4.23,-1.97,4.09,-1.95,3.95,-1.84,4.17,-2.28,3.54,-1.69,4.5,-2.15
6.67,24.19,12.61,-5.73,13.43,-5.59,13.92,-5.22,10.72,-4.24,15.38,-6.09,14.93,-5.79,14.69,-6.38,9.3,-3.96,9.15,-3.55,10.29,-4.16,9.42,-3.73,10.28,-3.86,8.49,-3.69,9.94,-4.32
0,52.78,12.23,-5.69,13.95,-5.52,15.21,-5.95,8.03,-3.25,13.34,-5.93,13.72,-5.84,15.31,-5.86,8.98,-3.37,7.16,-3.05,8.4,-3.22,7.77,-3.01,8.13,-3.11,7.14,-2.8,8.68,-3.32
15.56,50.74,12.44,-5.65,11.93,-5.83,13.81,-6.13,7.3,-3.1,14.31,-5.78,14.28,-5.53,15.09,-6.1,14.73,-4.81,11.94,-4.45,14.23,-5.12,14.69,-4.48,15.03,-4.73,12.6,-4.28,15.04,-5.11
8.89,46.63,11.63,-5.41,12.88,-5.6,15.12,-6.38,8.51,-3.44,14.75,-6.22,14.28,-5.77,14.61,-5.84,3.72,-1.9,3.41,-1.74,3.39,-1.66,3.21,-1.93,3.6,-2.02,2.76,-1.82,3.54,-1.98
15.56,37.19,11.61,-5.54,14.51,-6.04,15.18,-6.59,9.55,-4.06,13.65,-6.23,13.75,-5.72,14.83,-6.44,6.82,-2.76,6.3,-2.68,5.72,-2.86,5.7,-2.6,5.65,-3.02,5.4,-2.4,6.03,-3.01
13.33,48.18,11.52,-5.58,13.69,-5.78,15.5,-6.36,8.75,-3.51,13.67,-6.03,13.75,-5.81,15.16,-6.35,3.49,-2.31,3.68,-1.7,3.58,-1.7,2.98,-2.1,3.09,-2.38,2.68,-1.94,3.81,-1.93
15.56,31.83,12.62,-6.17,13.88,-5.91,15.11,-6.25,9.88,-4.3,15.68,-6.82,14.92,-5.49,14.94,-6.18,5.01,-2.07,4.56,-1.89,3.76,-2.06,4.18,-1.86,4.46,-2.18,3.77,-1.71,4.79,-2.03
8.89,58.31,11.97,-5.45,14.51,-5.75,15.3,-6.33,6.62,-2.82,13.5,-6.01,13.6,-5.67,14.83,-6.13,4.16,-2.23,4.02,-1.88,3.97,-1.9,3.42,-2.14,4.1,-2.1,2.94,-1.96,3.56,-2.38
11.11,30.75,11.84,-6.2,15.3,-6.98,14.97,-6.65,9.88,-4.2,15.69,-6.82,14.44,-6.14,15.09,-6.1,7.69,-3.11,6.06,-2.83,6.41,-2.85,6.2,-2.69,6.75,-2.79,5.91,-2.44,6.45,-3.07
0,48.18,15.17,-6.0,16.19,-5.98,19.12,-6.79,9.39,-3.47,18.4,-6.4,18.05,-6.01,19.91,-6.49,7.1,-2.68,6.75,-2.3,6.69,-2.38,5.88,-2.22,6.23,-2.61,6.11,-1.99,7.26,-2.37
15.56,51.76,14.2,-5.91,14.99,-5.84,13.31,-3.86,9.65,-3.2,16.96,-6.23,16.62,-5.98,17.75,-6.01,18.25,-5.35,15.41,-4.13,17.55,-5.35,19.22,-4.79,16.84,-4.66,14.94,-4.55,17.49,-5.22
17.78,40.89,14.33,-5.54,15.8,-5.71,17.49,-6.08,11.23,-3.82,17.4,-6.05,17.73,-5.91,17.64,-6.27,4.04,-2.07,4.29,-1.72,3.79,-1.68,3.57,-1.97,4.67,-1.96,3.0,-1.95,4.61,-1.93
11.11,47.66,13.99,-5.4,16.63,-5.54,17.13,-6.47,9.34,-3.45,15.62,-5.9,17.81,-5.45,18.0,-6.39,3.36,-2.12,3.44,-1.6,2.6,-1.93,3.25,-1.66,3.34,-2.02,0.82,-1.31,3.93,-1.65
0,68.11,12.51,-5.24,14.77,-5.34,16.1,-6.08,5.13,-1.9,14.6,-5.52,15.55,-5.18,15.98,-5.68,5.59,-2.79,4.89,-2.28,5.55,-2.27,5.56,-2.05,5.71,-2.34,4.75,-1.69,5.86,-2.4
11.11,54.29,12.79,-5.35,16.48,-5.49,17.01,-5.91,8.38,-2.79,14.94,-5.51,15.25,-5.39,16.49,-5.73,17.31,-4.75,12.3,-3.93,18.73,-5.24,17.95,-4.48,17.25,-5.07,13.44,-4.19,18.5,-4.88
13.33,58.8,12.37,-4.89,14.27,-5.16,16.01,-5.69,7.48,-2.54,14.99,-5.33,15.56,-5.18,16.27,-5.78,7.11,-2.47,5.65,-2.09,6.2,-2.34,5.77,-2.36,5.76,-2.54,4.91,-1.89,6.46,-2.44
15.56,25.83,13.54,-5.67,16.19,-5.39,17.8,-5.68,12.64,-4.3,17.75,-6.17,16.69,-5.56,17.45,-6.2,5.84,-1.86,5.28,-1.95,4.8,-1.96,4.32,-2.21,4.49,-2.53,3.83,-2.16,4.5,-2.48
17.78,43.5,12.88,-5.48,16.78,-6.17,16.5,-6.34,11.22,-4.13,14.93,-6.07,16.51,-5.47,17.8,-6.15,4.52,-1.7,5.11,-1.73,3.79,-1.7,3.35,-2.0,3.91,-2.03,3.01,-1.8,4.81,-1.66
2.22,67.14,13.24,-5.32,15.42,-5.34,16.64,-6.02,5.56,-1.97,15.52,-5.61,14.67,-5.51,15.57,-5.76,3.52,-1.87,0.46,-1.73,0.8,-1.36,2.96,-1.69,3.26,-1.74,0.8,-1.25,3.37,-1.67
8.89,49.71,13.85,-5.36,15.78,-5.6,19.0,-6.07,9.32,-3.38,17.2,-5.86,17.35,-5.67,17.78,-6.06,14.08,-4.31,11.85,-3.8,16.31,-4.57,14.24,-3.82,14.61,-4.22,11.73,-4.0,15.62,-4.47
0,66.7589,16.28,-5.18,17.39,-5.67,20.58,-6.41,6.93,-2.06,19.33,-5.46,20.93,-5.67,20.87,-5.9,7.85,-2.86,8.86,-2.21,8.7,-2.71,7.58,-2.47,8.67,-2.7,6.63,-2.06,9.33,-2.9
17.78,25.28,17.68,-6.17,20.23,-6.03,21.9,-6.19,15.99,-4.33,21.75,-5.89,22.71,-6.02,21.59,-6.57,23.56,-5.44,19.05,-4.31,24.17,-5.32,24.25,-1.97,23.13,-5.14,20.13,-4.83,21.89,-5.15
4.44,29.65,17.83,-6.37,19.26,-6.28,22.11,-6.88,15.11,-4.6,23.45,-7.29,19.91,-6.49,23.47,-6.63,4.6,-1.57,4.67,-1.45,0.8,-1.16,3.76,-1.69,4.29,-1.78,0.95,-1.49,4.19,-1.74
11.11,44.02,17.97,-6.16,20.2,-5.92,23.68,-6.59,12.95,-3.8,21.88,-6.42,22.21,-6.38,22.22,-6.66,14.32,-3.9,12.6,-3.7,14.45,-3.94,12.87,-3.78,14.25,-3.88,11.92,-3.65,14.57,-3.97
17.78,21.97,20.46,-6.51,22.47,-6.08,23.8,-6.73,17.49,-4.84,26.81,-7.41,24.35,-5.96,22.27,-6.93,8.62,-2.68,6.78,-2.46,7.56,-2.35,7.78,-1.78,8.07,-2.57,6.9,-2.2,8.06,-2.51
4.44,64.71,17.12,-5.44,21.24,-5.75,22.65,-6.4,8.06,-2.23,18.47,-5.74,19.47,-5.79,19.95,-6.34,4.04,-1.77,0.84,-1.1,0.85,-1.13,3.13,-1.86,3.72,-1.96,0.88,-1.41,3.12,-2.2
13.33,53.78,16.3,-5.75,18.4,-5.43,20.11,-6.33,10.12,-3.05,19.62,-6.04,19.2,-5.66,18.36,-6.19,16.57,-3.68,11.74,-3.46,14.96,-4.18,15.3,-3.5,14.42,-3.95,11.04,-2.28,16.87,-3.75
17.78,59.29,15.24,-5.32,18.07,-5.38,19.54,-6.08,8.71,-2.65,18.89,-5.88,18.26,-5.44,20.01,-5.78,6.92,-2.36,5.83,-2.12,6.67,-2.08,6.36,-1.98,5.94,-2.4,5.81,-1.68,6.68,-2.28
11.11,25.28,17.63,-5.61,17.35,-5.65,19.15,-6.53,13.3,-4.43,21.33,-6.02,20.87,-5.65,19.68,-6.26,4.17,-1.98,4.48,-1.53,0.77,-1.34,3.88,-1.57,4.39,-1.82,0.84,-1.32,3.82,-1.81
2.22,19.75,19.51,-6.8,21.54,-6.41,23.38,-7.1,17.23,-5.12,24.93,-7.41,23.77,-6.3,24.02,-6.63,9.08,-2.51,7.24,-2.41,7.24,-2.46,7.37,-2.29,7.7,-2.62,6.91,-2.15,8.59,-2.42
13.33,16.39,24.12,-7.33,25.9,-7.4,24.22,-7.06,20.2,-5.14,27.44,-6.45,27.9,-7.1,30.76,-7.23,20.7,-4.46,16.84,-4.46,19.47,-5.27,21.02,-4.2,21.0,-5.14,20.25,-4.95,19.94,-4.88
2.22,31.28,29.26,-6.37,35.34,-6.37,35.13,-6.46,23.69,-4.84,32.07,-7.36,32.93,-7.55,35.05,-7.31,7.16,-2.33,8.65,-2.03,7.01,-2.12,5.22,-2.48,8.13,-2.46,7.9,-1.93,8.25,-2.25
15.56,41.41,28.91,-7.24,34.14,-6.28,26.93,-7.19,20.07,-4.1,33.19,-6.78,33.1,-6.76,31.85,-6.64,32.21,-4.87,24.54,-4.42,27.93,-5.14,25.21,-4.85,31.33,-4.83,28.47,-4.65,30.8,-4.93
11.11,17.51,32.61,-7.23,31.87,-6.77,31.6,-7.71,22.38,-5.34,40.66,-6.63,42.54,-6.79,34.24,-7.43,9.65,-1.88,7.14,-1.94,5.94,-1.83,7.15,-1.78,6.89,-2.41,7.63,-1.73,8.57,-1.9
20,50.73,24.19,-6.6,28.05,-6.43,31.34,-6.67,16.07,-3.35,27.11,-6.35,27.78,-6.37,31.34,-5.88,12.77,-2.66,11.39,-2.61,10.48,-2.79,8.93,-2.64,10.13,-3.06,10.21,-2.5,11.66,-2.79
2.22,40.36,23.68,-6.06,26.75,-5.69,27.1,-6.02,17.89,-3.89,28.04,-6.23,29.24,-6.22,30.36,-6.07,3.78,-1.84,0.52,-1.86,0.54,-1.99,0.85,-1.21,4.53,-1.74,0.95,-1.16,0.94,-1.32
20,50.73,21.47,-5.99,25.02,-5.85,26.95,-6.59,14.23,-3.33,28.33,-5.31,29.85,-5.37,29.24,-6.22,31.01,-4.86,23.24,-4.02,26.77,-5.02,27.07,-4.51,26.66,-4.62,24.66,-4.03,24.65,-5.03
